fips,county,low_birth_weight_pct,births_known,late_or_no_prenatal_pct,tobacco_use_pct,poverty_pct,obgyn_per_100k
28049,"Hinds County, MS",15.766755017039001,13205,25.93580789453033,3.473062953995157,21.6,25.00294846090341
22017,"Caddo Parish, LA",14.955969395120542,13854,28.180831826401448,4.366054647968773,22.3,35.12781633932581
13063,"Clayton County, GA",14.09007732719438,16941,35.66783988546203,1.5824279641001417,16.8,3.6949577263245583
13021,"Bibb County, GA",13.93635827931644,10182,29.007558653185434,5.346282126741221,24.8,35.019356153219235
45041,"Florence County, SC",13.654261399720564,7873,23.459926330496636,4.993012323719984,18.3,15.93637041919898
22073,"Ouachita Parish, LA",13.610431947840262,9816,41.16428900138058,5.022458146182115,24.0,7.600998264438729
01101,"Montgomery County, AL",13.277528242820198,14694,37.10910828895261,2.5730038799264854,19.3,11.0671376840465
13245,"Richmond County, GA",12.89765366345185,13894,28.98128595354256,2.8530155290718673,21.1,27.629263752829576
13215,"Muscogee County, GA",12.695297758321383,13249,21.607047922837396,3.2910628019323673,18.8,14.368527969082892
29510,"St. Louis city, MO",12.552252670692058,17224,37.032250123092076,6.815226386097647,19.8,33.60803732637337
22033,"East Baton Rouge Parish, LA",12.544763575239347,27366,33.223757937990285,1.676673012154049,18.6,22.95694248844427
22071,"Orleans Parish, LA",12.5,20168,33.40161886679324,1.42985701429857,22.6,50.17907312083507
22079,"Rapides Parish, LA",12.487487487487487,7992,8.445945945945946,5.394918012266867,18.9,12.708599750593729
13151,"Henry County, GA",12.458899213724088,13990,26.213870759520905,1.7800972261938806,9.4,8.098258874342017
17115,"Macon County, IL",12.343722486353231,5679,23.169014084507044,10.072068904904201,14.6,8.93415527561869
01097,"Mobile County, AL",12.112798952921112,25213,22.72510719390186,4.8957424879093,16.3,18.673955167956464
05119,"Pulaski County, AR",12.098522973691747,24441,29.210472067614926,3.139601606689073,16.2,23.17993863547428
01125,"Tuscaloosa County, AL",12.086079568013975,12593,36.24652087475149,2.8253968253968256,16.7,10.364326816244633
17167,"Sangamon County, IL",12.08246605213599,10089,15.211351458622742,9.748365365563702,12.9,33.44567650312589
24510,"Baltimore city, MD",11.998988138737422,35578,29.724546722454672,4.561750176429076,20.1,31.675028287559982
13185,"Lowndes County, GA",11.972633979475484,7893,31.349911190053287,3.380602684223854,20.3,10.648580462312216
47157,"Shelby County, TN",11.962500205230926,60907,37.545250227323415,2.672958569142178,17.5,20.53748915466816
22015,"Bossier Parish, LA",11.953389299586519,7981,23.525673614641587,3.3111752163551986,16.4,9.915943311314853
37155,"Robeson County, NC",11.830501183050119,9298,37.347445728480395,11.015583019881785,28.8,6.743997841920691
45079,"Richland County, SC",11.689457432730482,22670,31.368913609676422,0.8736321920225909,16.9,16.254461269101892
37147,"Pitt County, NC",11.662434069154132,10238,19.387956564659426,4.797659678205753,19.4,28.21061714873633
26163,"Wayne County, MI",11.613337824183226,103915,22.903496839241416,4.886587340839225,20.1,11.97021223976787
45085,"Sumter County, SC",11.596613244632598,6614,24.768553650022767,3.0064964496147453,16.4,7.635336336565626
13121,"Fulton County, GA",11.496955151752625,61251,24.12729658792651,0.744866789722145,12.9,32.09966671374618
12073,"Leon County, FL",11.4540614432693,13899,24.75225225225225,1.489407851926831,18.5,10.982135725885893
13097,"Douglas County, GA",11.42415596766524,8412,34.527919990475056,2.1385291671616966,11.3,3.2919209675614107
01073,"Jefferson County, AL",11.37867227700185,39451,26.873266671755335,2.3376821158434438,16.3,24.821585452444854
13051,"Chatham County, GA",11.368922361280319,18058,30.719432560234182,1.791875347801892,14.3,20.173360751750526
17163,"St. Clair County, IL",11.3252457002457,13024,25.973019072724455,7.147814018043026,13.6,9.556080255147343
28047,"Harrison County, MS",11.222477817942819,12172,21.4563599458728,4.774908970539556,17.4,10.7612408178543
12033,"Escambia County, FL",11.209646893419132,18493,34.486925950340584,7.5222680860308495,14.5,18.413704626065957
51760,"Richmond city, VA",11.129296235679215,14664,22.505147563486616,3.3635187580853816,18.8,31.670625494853525
35049,"Santa Fe County, NM",11.115120894983761,5542,30.19765739385066,2.698786451729759,12.5,7.606249801920578
51710,"Norfolk city, VA",11.108195000328063,15241,18.760010678056595,3.1206975676916016,17.3,24.664113714545337
55079,"Milwaukee County, WI",11.100512698223442,58709,22.88772127794626,4.086017808643036,17.5,15.896360057962237
54039,"Kanawha County, WV",11.100489903214243,8369,18.94800483675937,16.506947771921418,16.1,14.95060549952273
42101,"Philadelphia County, PA",11.01354132584673,94747,33.029009956667,3.0806751813105704,22.0,18.552451337936713
48245,"Jefferson County, TX",11.000953288846521,15735,29.06652847055775,3.653723742838956,18.8,9.450753697607384
22105,"Tangipahoa Parish, LA",10.864351996663538,9591,25.53859025308513,2.304243561672401,19.4,8.582279024194875
39099,"Mahoning County, OH",10.841170323928944,11484,13.990585774058577,17.77042903141589,18.3,8.415047877193448
39035,"Cuyahoga County, OH",10.765326773982625,64234,20.905945069676093,4.116959064327485,16.2,23.0534727719141
26049,"Genesee County, MI",10.737020795020513,21207,28.93651706942846,11.464847451203335,15.9,12.677768414458622
13089,"DeKalb County, GA",10.724407201255937,49047,24.193317080166356,0.5343776132493014,13.5,18.044753585258864
01069,"Houston County, AL",10.723153320918684,6444,26.303538175046555,6.389578163771712,18.0,16.458497156337433
22109,"Terrebonne Parish, LA",10.707692307692307,6500,25.470670608370934,4.390694808195963,16.5,12.516367557575292
28121,"Rankin County, MS",10.681739531664553,8669,19.823173569101908,3.067696920770384,10.0,19.928630591693498
36005,"Bronx County, NY",10.678100046000873,84781,34.78382385107055,0.46233502777548446,26.9,10.038101455596928
08101,"Pueblo County, CO",10.672881558503645,8367,26.55017594952069,7.410937686167044,15.4,5.886993277053677
37071,"Gaston County, NC",10.658307210031348,13717,27.071538857436952,7.393904039667493,12.8,6.198090987975703
22019,"Calcasieu Parish, LA",10.648111953717457,12791,15.083945435466946,2.665433448246868,17.8,11.118577208850388
13113,"Fayette County, GA",10.587975243147657,4524,18.455410489046248,0.7952286282306164,5.5,27.176736713373355
51650,"Hampton city, VA",10.510125608818251,7802,22.593705106438552,3.5238339313172733,13.0,4.3605918776708625
37051,"Cumberland County, NC",10.50366406886123,25791,28.830582373092493,5.260301585455673,17.2,10.932836923440593
28033,"DeSoto County, MS",10.459759732634812,11071,27.652762532016098,3.7532784661300536,10.0,6.637021304838389
12031,"Duval County, FL",10.42866181588105,63220,43.8200769407819,3.222733767264645,14.6,13.173370079769969
13059,"Clarke County, GA",10.42611060743427,6618,20.76161462300076,2.990033222591362,25.9,18.46224854802108
37067,"Forsyth County, NC",10.387498870924036,22142,26.65123246629443,4.3250564334085775,14.7,24.111939679964234
37191,"Wayne County, NC",10.376310919185688,8105,32.48724648500684,4.193906500555076,16.9,3.32397081553624
26145,"Saginaw County, MI",10.336914571816001,9587,22.65835036025379,11.61104595372641,18.1,14.916308852829303
22051,"Jefferson Parish, LA",10.284095259973965,26118,31.921186050084497,1.4896573016363075,16.3,17.31994860188226
37081,"Guilford County, NC",10.257561110343875,28964,30.218791109880218,3.6233134338659028,15.2,12.526484567371012
08005,"Arapahoe County, CO",10.242445073103667,37823,22.034672759037765,2.9954221904686302,8.5,11.545647290971305
22005,"Ascension Parish, LA",10.220927409565428,8238,27.157141093692136,1.3969873663751216,10.3,2.246618838647835
18097,"Marion County, IN",10.219936999420847,70793,34.90650044523598,4.6513283407841906,15.1,17.92939891690131
26121,"Muskegon County, MI",10.214007782101167,9252,26.95265951684541,10.981156595191683,12.6,3.381653403070541
22055,"Lafayette Parish, LA",10.201020102010201,16665,14.506757996452816,1.9828833172613307,17.4,18.093069174523386
13153,"Houston County, GA",10.181892084137791,9841,21.70156535881277,3.605525086329474,10.1,6.861181152335375
12001,"Alachua County, FL",10.168177943114005,12903,24.429132281067222,2.7635460332246544,19.7,27.76045129583045
51700,"Newport News city, VA",10.140845070422536,12425,26.591913570142413,4.127443881245474,15.1,12.018180229000961
11001,"District of Columbia, DC",10.130122826219141,41115,27.890811304480188,1.2009803921568627,14.5,30.18867924528302
39095,"Lucas County, OH",10.088996090825917,24046,24.211885228834383,7.2364316905801624,17.8,14.778637128158934
01089,"Madison County, AL",10.069304717192042,22365,33.75622002062133,2.947227191413238,10.5,11.574210768740182
29189,"St. Louis County, MO",10.066261410058443,51161,25.815284021250513,3.805543334799824,9.6,24.97660960652776
08031,"Denver County, CO",10.065582487703283,45134,21.20514036633015,2.713968957871397,11.2,24.279202599657896
17143,"Peoria County, IL",10.049486105824133,10508,22.262460688077766,8.552130898021309,15.4,20.041195791348883
39061,"Hamilton County, OH",10.01213829828889,51078,24.72395771936029,5.809624578728741,14.9,26.03423382324666
39003,"Allen County, OH",9.981791094189704,6041,17.289719626168225,11.449371277299802,13.1,7.931314813713244
17201,"Winnebago County, IL",9.961519364448858,16112,19.49990669901101,8.548707753479125,16.0,6.342718207124987
29095,"Jackson County, MO",9.950109572434373,42894,28.444696111740278,6.046051702217827,13.8,12.235998031241666
20209,"Wyandotte County, KS",9.874038380251923,11829,30.98507462686567,3.895442586777561,17.5,25.381010282260444
37001,"Alamance County, NC",9.867192363560905,9638,27.706537733865883,4.387056627255756,14.1,5.463286713286713
10001,"Kent County, DE",9.863299791152459,10534,26.024407183252308,5.315392690142189,11.3,4.151746328299341
18095,"Madison County, IN",9.854626782219738,7154,19.997203188365262,12.34585201793722,12.9,3.7251717304167724
01081,"Lee County, AL",9.852470855256371,9693,22.270426608821403,2.484279971136996,18.9,7.985222015789446
24043,"Washington County, MD",9.811181044057756,8103,20.889167188478396,9.743334163967107,12.5,10.176304475029893
08041,"El Paso County, CO",9.789163353732077,44774,24.090152103919173,2.2562998440143245,8.5,9.298964361054875
37159,"Rowan County, NC",9.787928221859707,7969,25.84382871536524,7.795463090612858,15.8,3.259792416418922
28059,"Jackson County, MS",9.784022898776998,7686,15.612040133779264,6.192272668141017,14.1,7.482891389232799
42051,"Fayette County, PA",9.76582827406765,5765,24.723180250499183,16.165676336945126,17.4,4.034177552222428
37057,"Davidson County, NC",9.74949221394719,8862,21.682116210716707,8.671628326567433,13.8,2.812006141421413
26075,"Jackson County, MI",9.725873075478784,7989,18.54778028592927,12.433728856349406,12.2,3.7445470034262605
45035,"Dorchester County, SC",9.71749148467241,9982,23.590206702789484,3.6652905044809185,11.5,7.442904335778041
35001,"Bernalillo County, NM",9.702933300118328,32114,23.491393309516077,3.2316596277178165,15.8,20.394583079641592
13223,"Paulding County, GA",9.691485882481194,9173,22.049994542080558,1.6125517541948138,6.1,1.06073222345385
34011,"Cumberland County, NJ",9.683118030252842,9057,32.0917858330562,5.513118565260711,16.3,2.5694060817841957
48141,"El Paso County, TX",9.675487313514102,55098,29.101644109365065,0.5029048656499637,18.9,12.445991248983768
12011,"Broward County, FL",9.653810637169185,101794,31.77213138005795,0.3142702329934486,12.2,13.006313706396947
26025,"Calhoun County, MI",9.65176857691253,7294,29.053961279692434,11.347712597884325,14.2,7.474679523115446
48375,"Potter County, TX",9.624352331606218,7720,37.35080435910742,7.544972175488547,20.9,29.655731842405952
32003,"Clark County, NV",9.605069905953568,123237,19.667722959052814,2.288937616668161,13.2,8.420627870360681
13077,"Coweta County, GA",9.570596797671033,8244,18.648386314001456,2.097478176527643,8.2,7.583753072999943
37119,"Mecklenburg County, NC",9.564167860363945,75396,29.301386064931094,0.9244767488129029,10.4,19.31550172637478
36055,"Monroe County, NY",9.553204796997797,36773,16.92394366197183,4.675923385105098,13.1,23.397970226082887
08001,"Adams County, CO",9.524113294207707,31352,20.297854273490316,3.470646511776549,9.4,15.65455372550753
45007,"Anderson County, SC",9.514327763829971,11551,19.011274934952297,7.6521739130434785,14.4,6.44617672653937
18163,"Vanderburgh County, IN",9.507735583684951,10665,17.509143768170308,7.911303203983839,14.4,9.978546125829466
42043,"Dauphin County, PA",9.50345080315153,16373,25.538499628620947,5.973627721557804,12.3,20.81705223715059
17019,"Champaign County, IL",9.50235305897667,9987,18.90752083542524,4.059336473889947,18.0,14.596890391479182
36093,"Schenectady County, NY",9.497270245677889,8792,20.423023578363384,3.1466545495853686,12.5,10.476947633750562
36065,"Oneida County, NY",9.46916608269096,11416,24.692226521280336,9.028141933228456,14.6,6.568949887670957
45015,"Berkeley County, SC",9.469020696951663,15123,22.759168542301072,3.7427831972924546,10.3,5.297492015922748
24033,"Prince George's County, MD",9.463336974027657,54019,36.839150744802424,0.7484585097689622,10.2,6.724399950756702
45019,"Charleston County, SC",9.448059773439383,24894,20.573681457939415,1.6312885165344182,11.6,30.162343010805078
42049,"Erie County, PA",9.434843531060253,12846,16.865173892329683,11.382556601571617,15.4,5.9757236227824455
21111,"Jefferson County, KY",9.432230611989487,47942,23.37960991397666,7.092123843446371,14.5,19.398373307838327
24017,"Charles County, MD",9.416638674280597,8931,26.27177700348432,2.348578491965389,6.6,5.731381606850148
23001,"Androscoggin County, ME",9.414262962307555,5651,24.720298348428344,9.55661543896838,13.0,5.205080158234437
39023,"Clark County, OH",9.405255878284924,7953,34.43515704154002,11.930177068943866,15.6,4.44493832648072
18091,"La Porte County, IN",9.4043321299639,5540,34.09090909090909,11.710573800072176,14.0,3.5923411287135827
21067,"Fayette County, KY",9.40189445196211,18475,20.781644527390494,6.141587163920208,15.7,27.62288388978773
39153,"Summit County, OH",9.394130523503877,26953,23.3445983585249,7.560993751859566,12.6,14.48817727585118
26099,"Macomb County, MI",9.389497980380842,43325,16.24819214263698,4.710405039253375,9.8,4.852314723389849
10003,"New Castle County, DE",9.382626475826132,30322,14.40126191435092,3.336431843835071,10.2,12.072920439454304
48215,"Hidalgo County, TX",9.35080058224163,68700,33.89795648533106,0.24163027656477437,27.2,6.667978400122429
39113,"Montgomery County, OH",9.342925976040394,30301,25.316078639041503,6.895414054767404,14.9,13.210703274579815
24005,"Baltimore County, MD",9.33820014774258,46026,22.783479796963395,3.054283845650752,10.0,17.244918907821802
12095,"Orange County, FL",9.338180921863446,81140,34.91235769419418,0.7762030527346898,13.0,13.888472307168668
55101,"Racine County, WI",9.332702318977757,10565,18.675623800383878,5.673422996779693,10.8,9.06111723575517
45063,"Lexington County, SC",9.322449981588315,16294,24.030960132686282,3.124232752271053,11.4,14.02283171964535
