model,cv_roc_auc_mean,cv_roc_auc_sd,cv_average_precision_mean,cv_average_precision_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_balanced_accuracy_mean,cv_balanced_accuracy_sd,test_roc_auc,test_average_precision,test_recall,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_brier_score,test_tn,test_fp,test_fn,test_tp,test_auc_ci_low,test_auc_ci_high
Logistic regression,0.7739426979335373,0.03212234772833193,0.723307952745953,0.04720381617676403,0.6939767779390421,0.06059397894092339,0.6470190417273236,0.041695476553806836,0.6683059255346864,0.04086353600905203,0.6994071773804077,0.035964650632343845,0.760146475434849,0.7358891602585116,0.5977011494252874,0.65,0.6227544910179641,0.685,0.6749567694029092,0.19823074002871605,85,28,35,52,0.6903304773561812,0.8255916902816428
Decision tree,0.7292469268104963,0.039621911661452354,0.6745055856495417,0.03867891859709802,0.6373294629898403,0.07363074197747814,0.6309864973288019,0.05965225947508331,0.6308320306132813,0.047519555130606225,0.670995723593252,0.041798597596419344,0.7309531075170379,0.6916559725048271,0.735632183908046,0.5517241379310345,0.6305418719211823,0.625,0.6377275963788017,0.2164094703981878,61,52,23,64,0.6616612955832317,0.8004960588271943
