births_known,county,fips,low_birth_weight,late_or_no_prenatal,prenatal_known,tobacco_known,tobacco_yes,age_15_19,age_35_plus,age_known,low_birth_weight_pct,late_or_no_prenatal_pct,tobacco_use_pct,maternal_age_15_19_pct,maternal_age_35_plus_pct,fips_st_cnty,st_name_abbrev,ahrf_county,rural_urban_continuum_code,primary_care_hpsa,population_2024,median_household_income,poverty_pct,uninsured_under65_pct,obgyn_count,midwife_count,obstetric_hospital_count,population_density,obgyn_per_100k,midwives_per_100k,obstetric_hospitals_per_100k,log_population_density,cross_validated_prediction,cross_validated_residual
12593,"Tuscaloosa County, AL",01125,1522,4558,12575,12600,356,726,1613,12602,12.086079568013975,36.24652087475149,2.8253968253968256,5.760990318996985,12.799555626091097,1125,AL,"Tuscaloosa, AL",2.0,1,241212.0,63947.0,16.7,8.8,25.0,0.0,1.0,171.9,10.364326816244633,0.0,0.41457307264978527,5.152713392689245,9.918973743642761,2.1671058243712142
17992,"Anchorage Borough, AK",02020,1279,3963,17591,17616,799,527,3644,17989,7.108714984437528,22.528565743846286,4.535649409627611,2.9295680693757298,20.256823614431042,2020,AK,"Anchorage (B), AK",2.0,1,289600.0,98152.0,9.3,12.1,56.0,35.0,2.0,170.6,19.337016574585636,12.085635359116022,0.6906077348066298,5.145166187053862,8.067440975643473,-0.9587259912059451
6137,"Cochise County, AZ",04003,507,2655,6083,6162,335,410,827,6160,8.261365488023465,43.646227190530986,5.436546575787082,6.6558441558441555,13.425324675324676,4003,AZ,"Cochise, AZ",3.0,1,125773.0,58970.0,15.5,11.2,1.0,7.0,1.0,20.2,0.7950832054574511,5.565582438202158,0.7950832054574511,3.054001181677967,8.288736762833196,-0.027371274809731005
6456,"Coconino County, AZ",04005,492,1619,6134,6470,128,312,1228,6461,7.620817843866171,26.393870231496578,1.9783616692426584,4.82897384305835,19.006345766909146,4005,AZ,"Coconino, AZ",3.0,1,145161.0,69748.0,17.7,13.8,17.0,10.0,2.0,7.8,11.711134533380177,6.888902666694222,1.3777805333388444,2.174751721484161,9.027820522583335,-1.4070026787171637
251438,"Maricopa County, AZ",04013,19556,60379,246134,251448,4969,10442,46493,251624,7.777662883096429,24.530946557566203,1.9761541153638127,4.149842622325374,18.47717228881188,4013,AZ,"Maricopa, AZ",1.0,1,4673096.0,85518.0,11.3,12.5,479.0,111.0,15.0,480.4,10.250163917026313,2.375298945281672,0.32098634395698267,6.1766985253489715,8.717202307318532,-0.9395394242221027
8683,"Mohave County, AZ",04015,660,2252,8559,8702,812,517,1160,8725,7.601059541633076,26.31148498656385,9.33118823259021,5.925501432664756,13.29512893982808,4015,AZ,"Mohave, AZ",3.0,1,226479.0,55799.0,16.8,14.1,9.0,2.0,3.0,16.0,3.973878372829269,0.8830840828509486,1.324626124276423,2.833213344056216,8.59518728454941,-0.9941277429163344
6150,"Navajo County, AZ",04017,513,1896,6031,6157,292,458,881,6164,8.341463414634147,31.43757254186702,4.742569433165503,7.430240103828683,14.292667099286177,4017,AZ,"Navajo, AZ",4.0,1,109516.0,52752.0,24.7,15.4,3.0,7.0,1.0,10.7,2.739325760619453,6.391760108112058,0.913108586873151,2.4595888418037104,8.822696999106643,-0.48123358447249664
49557,"Pima County, AZ",04019,4133,15045,48986,49499,1825,2232,8581,49599,8.339891438141938,30.712856734577226,3.6869431705691023,4.500090727635638,17.300752031290955,4019,AZ,"Pima, AZ",1.0,1,1080149.0,67929.0,14.4,11.3,122.0,51.0,4.0,113.6,11.294738040770302,4.721570820322011,0.37031928002525577,4.741447804280639,8.957701699505453,-0.6178102613635144
25604,"Pinal County, AZ",04021,1818,5953,24946,25615,889,1255,3491,25627,7.10045305421028,23.863545257756755,3.4706226820222525,4.897178756779959,13.622351426230148,4021,AZ,"Pinal, AZ",1.0,1,513862.0,77588.0,10.9,13.2,9.0,9.0,2.0,79.3,1.7514429944226269,1.7514429944226269,0.3892095543161393,4.385769620952716,8.189274024302723,-1.088820970092443
8739,"Yavapai County, AZ",04025,640,1933,8675,8757,605,456,1349,8750,7.323492390433688,22.282420749279538,6.908758707319858,5.211428571428572,15.417142857142856,4025,AZ,"Yavapai, AZ",3.0,1,252013.0,66106.0,12.6,16.1,11.0,4.0,2.0,29.1,4.3648541940296735,1.5872197069198812,0.7936098534599406,3.40452517175483,8.009068158336023,-0.6855757679023347
14408,"Yuma County, AZ",04027,1002,5828,14338,14410,225,879,1876,14415,6.95446973903387,40.64723113404938,1.5614156835530881,6.0978147762747135,13.014221297259798,4027,AZ,"Yuma, AZ",3.0,1,220310.0,60417.0,16.5,16.7,18.0,9.0,1.0,37.0,8.17030547864373,4.085152739321865,0.4539058599246516,3.6375861597263857,8.736053322022917,-1.7815835829890467
19199,"Benton County, AR",05007,1413,5029,19027,19168,678,772,3052,19196,7.359758320745872,26.43086140747359,3.537145242070117,4.021671181496145,15.899145655344864,5007,AR,"Benton, AR",2.0,1,321566.0,89879.0,7.6,10.6,26.0,9.0,1.0,335.4,8.085431917553473,2.798803356076202,0.31097815067513357,5.818300928098793,8.389147391285272,-1.0293890705394002
7397,"Faulkner County, AR",05045,649,1685,7378,7400,431,367,861,7402,8.773827227254293,22.838167525074546,5.824324324324325,4.958119427181843,11.631991353688193,5045,AR,"Faulkner, AR",2.0,1,131611.0,65071.0,15.0,7.6,15.0,0.0,2.0,190.8,11.397223636322193,0.0,1.5196298181762924,5.256453162449338,9.409792902370599,-0.6359656751163065
24441,"Pulaski County, AR",05119,2957,7085,24255,24398,766,1498,3803,24470,12.098522973691747,29.210472067614926,3.139601606689073,6.121781773600327,15.541479362484676,5119,AR,"Pulaski, AR",2.0,1,401209.0,60385.0,16.2,9.0,93.0,10.0,3.0,526.3,23.17993863547428,2.4924665199434712,0.7477399559830413,6.267769646536424,10.952535448604293,1.1459875250874543
6890,"Saline County, AR",05125,610,1519,6870,6898,413,315,912,6898,8.853410740203193,22.110625909752546,5.9872426790374025,4.566541026384459,13.221223543055958,5125,AR,"Saline, AR",2.0,0,131252.0,76534.0,9.1,8.2,6.0,0.0,0.0,170.6,4.571358912626094,0.0,0.0,5.145166187053862,8.421906872040546,0.43150386816264685
7876,"Sebastian County, AR",05131,651,2611,7855,7878,862,540,916,7867,8.265617064499747,33.2399745385105,10.941863417110941,6.864115927291216,11.643574424812508,5131,AR,"Sebastian, AR",3.0,1,130035.0,56450.0,16.3,11.4,13.0,2.0,2.0,240.6,9.997308416964664,1.5380474487637945,1.5380474487637945,5.48728346606066,9.546790959475935,-1.2811738949761882
